"FullName","Name","PSIsContainer","Length","LastWriteTime"
"C:\Users\boss\Downloads\FH6TOOLBELT\FH6-CompanionDoctor-README.txt","FH6-CompanionDoctor-README.txt","False","18738","6/9/2026 5:55:16 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\FH6-CompanionDoctor.ps1","FH6-CompanionDoctor.ps1","False","417068","6/9/2026 5:51:53 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\FH6-SaveDoctor-README.txt","FH6-SaveDoctor-README.txt","False","1885","6/8/2026 7:00:56 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\FH6-SaveDoctor.ps1","FH6-SaveDoctor.ps1","False","52507","6/8/2026 7:00:28 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\FH6TOOLBELT_Meta","FH6TOOLBELT_Meta","True",,"6/8/2026 9:17:25 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\FH6TOOLBELT_Meta\FH6TOOLBELT-Inventory.csv","FH6TOOLBELT-Inventory.csv","False","0","6/12/2026 6:23:27 AM"
"C:\Users\boss\Downloads\FH6TOOLBELT\FH6TOOLBELT_Meta\FH6TOOLBELT-README.txt","FH6TOOLBELT-README.txt","False","4195","6/12/2026 6:23:20 AM"
"C:\Users\boss\Downloads\FH6TOOLBELT\Run-FH6-CompanionDoctor.cmd","Run-FH6-CompanionDoctor.cmd","False","212","6/8/2026 10:02:21 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\Run-FH6-SaveDoctor.cmd","Run-FH6-SaveDoctor.cmd","False","207","6/8/2026 10:10:39 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\Tools","Tools","True",,"6/8/2026 9:17:25 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\Tools\FH6_CompanionDoctor_Manifest.json","FH6_CompanionDoctor_Manifest.json","False","22559","6/9/2026 5:56:55 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\Tools\FH6-CompanionDoctor-README.txt","FH6-CompanionDoctor-README.txt","False","18738","6/9/2026 5:55:16 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\Tools\FH6-CompanionDoctor.ps1","FH6-CompanionDoctor.ps1","False","417068","6/9/2026 5:51:53 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\Tools\FH6-SaveDoctor-README.txt","FH6-SaveDoctor-README.txt","False","1885","6/8/2026 7:00:56 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\Tools\FH6-SaveDoctor.ps1","FH6-SaveDoctor.ps1","False","52507","6/8/2026 7:00:28 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\Tools\Run-FH6-CompanionDoctor.cmd","Run-FH6-CompanionDoctor.cmd","False","206","6/8/2026 9:17:57 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\Tools\Run-FH6-SaveDoctor.cmd","Run-FH6-SaveDoctor.cmd","False","201","6/8/2026 9:17:57 PM"
